Meas_ID,input_fwd,input_rev,trimmed,qual_fltr,unique,vector_bwa,vector_blat,human_bwa,human_blat,mRNA_unique,mRNA,contigs,unassembled,kaiju_tax,kaiju_genus,bwa_mcds_contigs,bwa_mcds_unassembled,dmnd_refseq,dmnd_seed,dmnd_nr_contigs,dmnd_nr_unassembled
M3362_DBUsw_62r_TrM31,4133156,4133156,3650316,3649379,2334633,2334297,2334287,2334297,2334297,2238345,3645191,5431,936594,874296,874296,2977,223871,971218,631046,3198,1143458
M3363_DBUsw_63r_TrM31,3964638,3964638,3406468,3405549,2299210,2298954,2298948,2298954,2298954,2238761,3403162,5204,921825,856815,856815,2684,227247,929185,617116,3390,1151154
M3364_DBUsw_64r_TrM31,3977660,3977660,3388837,3387916,2270346,2270142,2270130,2270142,2270142,2216648,3386095,5678,993228,845363,845363,2936,222264,916930,634861,2916,1037423
M3365_DBUsw_65r_TrM31,4080104,4080104,3201841,3200562,1914663,1914606,1914605,1914606,1914606,0,3200444,1220,116972,134031,134031,1049,22652,327810,350694,56,85857
M3366_DBUsw_66r_TrM31,4525030,4525030,3743423,3742044,2130530,2130427,2130426,2130427,2130427,0,3741806,1434,186745,147527,147527,1124,26958,342309,365580,127,136948
M3367_DBUsw_67r_TrM31,4171259,4171259,3679141,3678220,2295296,2295194,2295164,2295194,2295194,2224714,3677311,5082,815045,742560,742560,2506,188713,821560,562929,2304,957443
M3368_DBUsw_68r_TrM31,4025190,4025190,3501410,3500161,2116175,2116053,2116043,2116053,2116053,2025149,3498526,3687,739367,589820,589820,1882,176607,689048,455230,1849,891367
M3369_DBUsw_69r_TrM31,3685012,3685012,3244982,3244009,2142332,2142218,2142216,2142218,2142218,1825458,3242738,3515,555869,487423,487423,2135,147289,619897,446151,2489,830954
M3370_DBUsw_70r_TrM31,4599468,4599468,3802107,3801008,2356012,2355853,2355845,2355853,2355853,2181619,3800112,3851,684864,515755,515755,1916,136335,620759,467169,1711,716471
M3371_DBUsw_71r_TrM31,4899664,4899664,4128101,4126747,2932799,2932231,2932217,2932231,2932231,2864173,4125354,8740,1300590,1184457,1184457,4893,334561,1466612,989608,7503,1893878
M3372_DBUsw_72r_TrM31,4393107,4393107,3521769,3520048,2063495,2063460,2063460,2063460,2063460,0,3519746,1424,139180,147989,147989,1133,30942,338923,363832,117,118600
M3373_DBUsw_73r_TrM31,3570720,3570720,3236865,3236207,1880185,1880080,1880071,1880080,1880080,1781022,3234863,2661,536517,412678,412678,1220,116796,464819,324658,908,552429
M3374_DBUsw_75r_TrM31,4217518,4217518,3686780,3685746,1837167,1837116,1837113,1837116,1837116,1648111,3685047,2145,393710,210727,210727,1041,49568,351086,282230,635,292201
M3375_DBUsw_74r_TrM31,3607677,3607677,3226939,3226020,2036732,2036623,2036611,2036623,2036623,1976305,3223611,4049,724208,619968,619968,2180,172412,720386,469942,1849,933089
M3376_DBUsw_76r_TrM31,4405966,4405966,3895183,3893972,1920412,1920321,1920318,1920321,1920321,1519872,3893598,1286,186050,183621,183621,966,37865,319845,327956,107,155565
M3377_DBUsw_77r_TrM31,4329484,4329484,3795669,3794566,2460126,2460024,2460024,2460024,2460024,2125279,3793661,2657,554596,362095,362095,1495,113702,476024,369719,818,535163
M3378_DBUsw_78r_TrM31,4501908,4501908,3881047,3879784,1875080,1874987,1874986,1874987,1874987,0,3879510,1244,125229,154557,154557,1020,21168,322256,362112,51,86983
M3379_DBUsw_79r_TrM31,4062521,4062521,3366872,3365668,2250685,2250589,2250583,2250589,2250589,0,3363298,2155,372873,265873,265873,1333,78477,410320,372949,703,410875
M3380_PL17_B1r_TrM31,125087,125087,107002,106966,54631,54550,54550,54550,54550,52411,106851,22,9850,1045,1045,14,1238,4076,1301,14,21710
M3396_PL17_B2r_TrM31,113282,113282,95408,95380,50566,50465,50465,50465,50465,48359,95237,23,11061,1155,1155,8,2532,3824,1365,20,21162
